id	phase	family	bnf_file	oracle_mode	expect	reference_class	sql	setup	cleanup	min_version	notes
compat_select_001	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT 1 FROM dual	none	none	23ai	basic projection
compat_select_002	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT 'x' AS c FROM dual	none	none	23ai	string literal alias
compat_select_003	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT DATE '2020-01-01' FROM dual	none	none	23ai	date literal
compat_select_004	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT TIMESTAMP '2020-01-01 10:20:30' FROM dual	none	none	23ai	timestamp literal
compat_select_005	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT NULL FROM dual	none	none	23ai	null expression
compat_select_006	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT ROWNUM FROM dual	none	none	23ai	pseudocolumn
compat_select_007	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT LEVEL FROM dual CONNECT BY LEVEL <= 3	none	none	23ai	level pseudocolumn
compat_select_008	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT 1 + 2 * 3 FROM dual	none	none	23ai	operator precedence
compat_select_009	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT -1 FROM dual	none	none	23ai	unary minus
compat_select_010	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT 'a' || 'b' FROM dual	none	none	23ai	concat
compat_select_011	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT CASE WHEN 1 = 1 THEN 'Y' ELSE 'N' END FROM dual	none	none	23ai	case expression
compat_select_012	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT DECODE(1, 1, 'one', 'other') FROM dual	none	none	23ai	decode call
compat_select_013	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT CAST(1 AS NUMBER) FROM dual	none	none	23ai	cast expression
compat_select_014	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT EXTRACT(YEAR FROM DATE '2020-01-01') FROM dual	none	none	23ai	extract expression
compat_select_015	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT NVL(NULL, 1) FROM dual	none	none	23ai	function call
compat_select_016	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT COUNT(*) FROM employees	none	none	23ai	aggregate
compat_select_017	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT department_id, COUNT(*) FROM employees GROUP BY department_id	none	none	23ai	group by
compat_select_018	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT department_id, COUNT(*) FROM employees GROUP BY department_id HAVING COUNT(*) > 1	none	none	23ai	having
compat_select_019	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id FROM employees ORDER BY employee_id DESC NULLS LAST	none	none	23ai	order by nulls
compat_select_020	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id FROM employees FETCH FIRST 5 ROWS ONLY	none	none	23ai	fetch first
compat_select_021	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id FROM employees OFFSET 1 ROWS FETCH NEXT 5 ROWS ONLY	none	none	23ai	offset fetch
compat_select_022	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE salary BETWEEN 1000 AND 5000	none	none	23ai	between predicate
compat_select_023	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE department_id IN (10, 20)	none	none	23ai	in list
compat_select_024	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE last_name LIKE 'S%'	none	none	23ai	like predicate
compat_select_025	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE commission_pct IS NOT NULL	none	none	23ai	is not null
compat_select_026	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees e JOIN departments d ON e.department_id = d.department_id	none	none	23ai	ansi join
compat_select_027	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees e LEFT OUTER JOIN departments d ON e.department_id = d.department_id	none	none	23ai	left outer join
compat_select_028	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees e, departments d WHERE e.department_id = d.department_id(+)	none	none	23ai	oracle outer join
compat_select_029	A	select	SELECT.bnf	parse_only	accept	syntax	WITH q AS (SELECT 1 a FROM dual) SELECT a FROM q	none	none	23ai	with query
compat_select_030	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM (SELECT employee_id FROM employees) q	none	none	23ai	inline view
compat_select_031	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT * FROM employees WHERE EXISTS (SELECT 1 FROM departments)	none	none	23ai	exists
compat_select_032	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id, SUM(salary) OVER (PARTITION BY department_id ORDER BY employee_id) FROM employees	none	none	23ai	analytic over
compat_select_033	A	select	SELECT.bnf	parse_only	accept	syntax	SELECT employee_id, RANK() OVER (ORDER BY salary DESC) FROM employees	none	none	23ai	rank analytic
