id	word	token	category	table_name	column_name	alias	dotted_name	function_call	pseudocolumn	notes
kw_001	ACCESS	2000	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_002	ADD	2001	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_003	AFTER	2002	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_004	ALL	2003	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_005	ALTER	2004	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_006	ALWAYS	2005	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_007	ANALYZE	2006	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_008	AND	2007	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_009	ANY	2008	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_010	AS	2009	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_011	ASC	2010	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_012	ASSOCIATE	2319	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_013	AUDIT	2011	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_014	AUTOMATIC	2277	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_015	BEFORE	2012	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_016	BEGIN	2013	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_017	BETWEEN	2014	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_018	BITMAP	2015	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_019	BLOB	2016	type	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_020	BLOCK	2275	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_021	BODY	2017	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_022	BULK	2018	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_023	BY	2019	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_024	CACHE	2020	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_025	CALL	2317	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_026	CASCADE	2021	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_027	CASE	2022	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_028	CAST	2023	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_029	CHAR	2024	type	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_030	CHECK	2025	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_031	CLOB	2026	type	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_032	CLOSE	2027	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_033	CLUSTER	2028	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_034	COLLECT	2029	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_035	COLUMN	2030	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_036	COLUMNS	2299	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_037	COMMENT	2031	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_038	COMMIT	2032	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_039	COMPOUND	2033	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_040	COMPRESS	2034	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_041	CONNECT	2035	clause-starter	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_042	CONNECT_BY_ROOT	2036	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_043	CONSTANT	2037	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_044	CONSTRAINT	2038	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_045	CONSTRAINTS	2039	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_046	CONTENT	2309	context	allow	allow	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_047	CONTEXT	2325	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_048	CONTINUE	2040	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_049	CREATE	2041	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_050	CROSS	2042	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_051	CUBE	2295	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_052	CURRENT	2043	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_053	CURSOR	2044	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_054	CYCLE	2045	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_055	DATABASE	2046	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_056	DATE	2047	type	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_057	DECIMAL	2048	type	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_058	DECLARE	2049	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_059	DECODE	2050	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_060	DECREMENT	2278	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_061	DEFAULT	2051	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_062	DEFERRABLE	2052	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_063	DEFERRED	2053	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_064	DELETE	2054	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_065	DENSE_RANK	2055	function	allow	allow	skip	allow	allow	skip	lexer keyword classified by local Oracle parser policy
kw_066	DESC	2056	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_067	DETERMINISTIC	2057	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_068	DIMENSION	2279	context	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_069	DIRECTORY	2326	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_070	DISABLE	2058	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_071	DISASSOCIATE	2320	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_072	DISTINCT	2059	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_073	DROP	2060	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_074	EACH	2061	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_075	ELSE	2062	reserved	reject	reject	skip	reject	skip	skip	lexer keyword classified by local Oracle parser policy
kw_076	ELSIF	2063	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_077	ENABLE	2064	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_078	END	2065	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_079	ERRORS	2066	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_080	ESCAPE	2067	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_081	EXCEPT	2307	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
kw_082	EXCEPTION	2068	nonreserved	allow	allow	skip	allow	skip	skip	lexer keyword classified by local Oracle parser policy
