# Source: Oracle AI Database 26ai SQL Language Reference, Oracle SQL Reserved Words.
# URL: https://docs.oracle.com/en/database/oracle/oracle-database/26/sqlrf/Oracle-SQL-Reserved-Words.html
id	word	scope	ansi	generic_identifier	notes
sql_reserved_001	ACCESS	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_002	ADD	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_003	ALL	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_004	ALTER	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_005	AND	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_006	ANY	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_007	AS	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_008	ASC	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_009	AUDIT	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_010	BETWEEN	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_011	BY	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_012	CHAR	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_013	CHECK	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_014	CLUSTER	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_015	COLUMN	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_016	COLUMN_VALUE	attribute	N	reject	oracle-26ai-sql-reserved-attribute-name
sql_reserved_017	COMMENT	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_018	COMPRESS	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_019	CONNECT	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_020	CREATE	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_021	CURRENT	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_022	DATE	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_023	DECIMAL	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_024	DEFAULT	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_025	DELETE	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_026	DESC	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_027	DISTINCT	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_028	DROP	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_029	ELSE	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_030	EXCLUSIVE	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_031	EXISTS	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_032	FILE	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_033	FLOAT	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_034	FOR	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_035	FROM	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_036	GRANT	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_037	GROUP	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_038	HAVING	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_039	IDENTIFIED	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_040	IMMEDIATE	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_041	IN	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_042	INCREMENT	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_043	INDEX	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_044	INITIAL	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_045	INSERT	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_046	INTEGER	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_047	INTERSECT	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_048	INTO	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_049	IS	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_050	LEVEL	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_051	LIKE	always	Y	reject	oracle-26ai-sql-reserved
sql_reserved_052	LOCK	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_053	LONG	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_054	MAXEXTENTS	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_055	MINUS	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_056	MLSLABEL	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_057	MODE	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_058	MODIFY	always	N	reject	oracle-26ai-sql-reserved
sql_reserved_059	NESTED_TABLE_ID	attribute	N	reject	oracle-26ai-sql-reserved-attribute-name
sql_reserved_060	NOAUDIT	always	N	reject	oracle-26ai-sql-reserved
